X,Y,y1,y2,y3,y4,y5,y6,y7,y8
859.134,2735.97,861.047,2739.36,862.96,2703.12,864.874,2718.53,866.787,2703.95
868.701,2695.7,870.614,2705.68,872.527,2704.8,874.441,2699.77,876.354,2664.31
878.267,2704.01,880.181,2735.53,882.094,2773,884.008,2841.43,885.921,2914.47
887.834,2939.46,889.748,3017.19,891.661,3067.98,893.574,3127.65,,
895.488,3195.55,897.401,3254.68,899.315,3301.79,901.228,3342.76,,
903.141,3380.87,905.055,3471.62,906.968,3475.58,908.882,3538.49,,
910.795,3548.93,912.708,3553.23,914.622,3574.92,916.535,3565.33,,
918.448,3535.06,920.362,3528.26,922.275,3571.47,924.189,3660.05,926.102,3903.4
928.015,4291.34,929.929,4808.88,931.842,5449.25,933.755,6001.54,,
935.669,6143.22,937.582,6006.75,939.496,5547.23,941.409,5019.63,,
943.322,4516.08,945.236,4083.66,947.149,3801.21,949.063,3518.2,950.976,3386
952.889,3256.2,954.803,3171.18,956.716,3109.68,958.629,3062.08,960.543,3026.45
962.456,2998.4,964.37,2992.72,966.283,3028.26,968.196,2981.18,970.11,2981.04
972.023,2953.99,973.936,2936.36,975.85,2943.84,977.763,2914.35,979.677,2911.53
981.59,2904.67,983.503,2886.1,985.417,2865.89,987.33,2864.02,989.244,2880.78
991.157,2914.17,993.07,2950.02,994.984,2945.54,996.897,3034.81,998.81,3125.1
1000.72,3203.42,1002.64,3317.08,1004.55,3426.74,1006.46,3518.61,,
1008.38,3575.45,1010.29,3513.73,1012.2,3399.7,1014.12,3341.41,1016.03,3247.31
1017.94,3189.41,1019.86,3181.58,1021.77,3186,1023.68,3158.04,1025.6,3100.54
1027.51,3086.28,1029.42,3043.31,1031.34,3025.44,1033.25,2999.17,,
1035.16,2984.71,1037.08,2969.22,1038.99,2961.62,1040.9,2962.69,1042.82,2919.73
1044.73,2899,1046.64,2951.04,1048.56,2934.18,1050.47,2981.36,1052.39,3062.61
1054.3,3170.23,1056.21,3292.67,1058.13,3390.83,1060.04,3466.03,1061.95,3564.71
1063.87,3563.94,1065.78,3601.77,1067.69,3590.97,1069.61,3582.43,1071.52,3620.3
1073.43,3670.14,1075.35,3684.15,1077.26,3734.35,1079.17,3766.62,,
1081.09,3759.03,1083,3760.39,1084.91,3826.99,1086.83,3879.54,1088.74,3906.61
1090.65,3940.03,1092.57,3968.14,1094.48,4002.69,1096.39,3990.39,,
1098.31,3919.13,1100.22,3841.83,1102.13,3795.28,1104.05,3756.29,,
1105.96,3745.34,1107.87,3783.14,1109.79,3802.51,1111.7,3686.66,1113.61,3610.09
1115.53,3515.33,1117.44,3418.14,1119.35,3378.23,1121.27,3402.63,,
1123.18,3419.15,1125.09,3394.84,1127.01,3361.74,1128.92,3306.78,,
1130.83,3319.93,1132.75,3311.84,1134.66,3250.3,1136.57,3297.89,1138.49,3336.98
1140.4,3354.33,1142.31,3358.58,1144.23,3335.44,1146.14,3326.01,1148.05,3375.35
1149.97,3440.73,1151.88,3514.53,1153.79,3606.84,1155.71,3729.8,1157.62,3869.15
1159.53,4007.03,1161.45,4125.99,1163.36,4234.89,1165.27,4387.41,,
1167.19,4474.21,1169.1,4488.7,1171.01,4445,1172.93,4358.52,1174.84,4286.47
1176.75,4171.86,1178.67,4026.67,1180.58,3881.08,1182.49,3700.17,,
1184.41,3583.12,1186.32,3436.57,1188.24,3334.06,1190.15,3224.18,,
1192.06,3060.76,1193.98,2972.41,1195.89,2907.99,1197.8,2823.68,1199.72,2749.83
1201.63,2693.66,1203.54,2686.52,1205.46,2657.28,1207.37,2645.7,1209.28,2653.78
1211.2,2614.84,1213.11,2653.21,1215.02,2705.4,1216.94,2708.71,1218.85,2710.42
1220.76,2737.12,1222.68,2698.53,1224.59,2680.62,1226.5,2668.65,1228.42,2616.74
1230.33,2565.68,1232.24,2564.02,1234.16,2563.43,1236.07,2560.96,,
1237.98,2563.36,1239.9,2566.63,1241.81,2633.7,1243.72,2658.45,1245.64,2723.71
1247.55,2746.3,1249.46,2807.42,1251.38,2853.75,1253.29,2901.93,1255.2,2923.72
1257.12,2936.68,1259.03,2982.66,1260.94,3026.79,1262.86,3056.3,1264.77,3156.6
1266.68,3270.52,1268.6,3378.1,1270.51,3449.72,1272.42,3457.56,1274.34,3403.8
